Gene	SRR2467141	SRR2467142	SRR2467143	SRR2467144	SRR2467145	SRR2467146	SRR2467147	SRR2467148	SRR2467149	SRR2467150	SRR2467151
YDR032C	3.630112853845728	3.3786125433699237	3.888548058979756	2.9167924078835936	3.463163532530407	3.566878766244354	2.926157953331201	3.4216873839397746	3.654455590707135	3.5526253504435306	2.7560386385009132
YDR033W	3.764382163189069	3.1558740557920615	3.2929327541440774	5.2815003246759495	3.9472911763865235	3.7070775890072465	4.8946229238656205	3.711523869901664	4.2051015407296415	3.7230152890670514	5.930064350653287
YDR034C	4.5383522446920495	4.3077137918307145	4.501352653971649	2.925581343431262	4.374180222914072	4.017059422787958	3.1061382457768847	4.418534781828873	4.231933106758978	4.424589716397296	3.1404649890042178
YDR034C-A	1.048675607364403	1.0226484346343898	1.0456184786357754	0.9808209396268672	0.9469385026199401	0.9643850168841015	0.9448224720370635	1.0496273878921056	1.03997765046336	1.0110887800510513	0.9365926866449468
YDR034W-B	0.5724084726451724	0.43478578545936736	0.43895982919610044	0.6853296793232655	0.5804470141591905	0.5652730428570533	0.6208757087176954	0.5908384469996739	0.6337717225581322	0.6849292233756777	0.5721455431645113
YDR035W	6.6024098147851795	6.404611490362076	6.682125554853802	5.250141620448647	6.609745464117811	6.269069423560913	6.0046331196723015	6.663710832433891	6.550488326260689	6.682125554853802	6.539160305479201
YDR036C	1.162908590610614	1.14376341605448	1.1388549876996956	1.2756189361379673	1.1344909342188643	1.1644558462750005	1.2886660291230347	1.0851798882999828	1.107701308789565	1.1571934542594546	1.223161468199497
YDR037W	8.565315738785966	8.71953309481113	8.858621163143056	8.753257547097324	8.689519764487105	8.565315738785966	9.172262829644419	8.565315738785966	8.488234787372901	8.737328884604654	8.689519764487105
YDR038C	2.8951249004244923	2.8994004060215004	3.2008339971124427	2.9420858728418713	2.686570025938644	2.7173612131299247	2.8048617492274794	3.0059475497103527	2.5185575418660995	3.1061382457768847	2.61708741874268
YDR039C	2.3774445357041634	3.109744558465345	2.537040873038848	2.57826218236287	2.1149246418089027	2.423014679806993	2.5801013519871874	2.264038506372966	2.845688340901432	2.3343016553852336	2.3504485299121685
YDR040C	6.082735841766783	6.189671497714366	6.741414169621715	6.205250049563953	6.900381552617359	6.093306801816242	5.637427308317436	6.822758654857034	6.205250049563953	6.955602574207282	5.206151421249244
YDR041W	1.5097709620020225	1.4230001805754744	1.409720059154568	1.4268929063066733	1.6166161101325447	1.4635584383856446	1.3664201089825074	1.4626464171542948	1.4727695080565784	1.4227511788012202	1.3469154857932417
YDR042C	0.6906777922172267	0.6684648275706963	0.6731399533981315	0.6891570261348727	0.6584399533770591	0.5961711833075773	0.7382097427919292	0.6881088017278689	0.6888152884433402	0.6204199858522109	0.7360732398811609
YDR043C	1.4483535838987784	1.3046986430992615	1.2505964750371605	1.0369500858553249	1.426428814665335	1.4019910966277505	0.9373763553659082	1.4268929063066733	1.3944033210862463	1.3309889362146703	1.1615563671453117
YDR044W	7.256055791308917	6.4842405688005735	5.764282690530599	2.629954411335799	5.898421083574158	7.224156693639491	2.0800001621631097	5.887129146400355	6.868935614953566	5.417044221937409	4.256037020389024
YDR045C	1.278883194441122	1.3444698879882682	1.3547488685456983	1.4727695080565784	1.1979786530147614	1.2678288426291413	1.5282836851999213	1.2136630436063003	1.251898668625003	1.3241841544778687	1.2065887976449983
YDR046C	2.524472679783865	2.8523580999428635	2.836399671565577	4.706768260507264	2.89588992947028	2.9489655387640434	4.755186301292243	3.1221217591635604	3.090984962855438	3.532489237537762	4.796336142331963
YDR047W	1.7919214061717643	1.9014183717896889	1.7973996025344536	2.163946810209142	1.8140548349445929	1.9272602962208538	2.0566636146801676	1.755076928498748	1.9167715490965702	1.8481195117050657	2.0911539790145577
YDR048C	0.3211191195346914	0.43478578545936736	0.3453939386430118	0.39297515425039836	0.27148158893605673	0.1012371001140656	0.11771471889837985	0.094500771256062	0.40805289325960276	0.314860972930152	0.10246030070760928
YDR049W	1.5270746562547681	1.6227345851776904	1.6537269710467815	1.6864694267260973	1.5375691373146998	1.5769568580615845	1.7608233986546276	1.600597257338201	1.5798089995288773	1.6307211385257054	1.6831361449530136
YDR050C	8.914949918731832	8.71101546898817	8.46664072431871	8.99530320116057	9.029508630353824	9.088924950001225	8.504373212476374	8.553860458692217	8.93929830392826	8.442747344000118	9.101443759654353
YDR051C	1.3765686081236927	1.3625290131330239	1.28926302712394	1.5270746562547681	1.4665796963302635	1.3591225244124157	1.5801638835742873	1.2954559584274978	1.3728223154437171	1.368302290403108	1.63131612205309
YDR052C	1.8108023883418536	1.8938992734688167	1.939618742082086	2.153750463768967	1.7905156779100033	1.7874053920736175	1.908471646060729	1.9617155511131474	1.8575356499429674	1.9024727055840405	1.9303438812689757
YDR053W	0.0974590059288438	0.39297515425039836	0.10833521771768795	0.10791060996537619	0.0936400747039121	0.39132788449254075	0.430393118357813	0.094500771256062	0.36381034393528616	0.0932034663690275	0.3042977321525522
