	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3
DNM1	9.89157	9.8369	10.5676	7.64135	7.91079	7.86492
PHO3	9.73482	9.94089	10.9451	5.24617	5.91871	4.56835
RSM18	12.3031	14.1628	11.2485	4.74819	4.46803	4.8298
ECM4	8.04751	8.36123	8.11539	12.8181	12.3691	14.137
CAF130	8.24147	8.03802	8.06215	9.47014	9.58305	9.99437
ATG1	7.68574	7.24588	7.78654	9.50016	10.0383	9.59559
PUT2	11.7014	10.5805	11.5763	6.66674	7.60253	6.65988
RNR2	7.59369	7.01436	8.23032	11.2199	11.9015	12.2107
NUR1	8.32422	7.98024	8.79787	10.6921	10.737	10.4842
YGR021W	11.3599	10.4193	11.756	6.05114	7.10899	6.13897
VTH1	8.43281	8.36462	9.10754	13.2536	12.0252	13.171
TPC1	12.3506	11.7576	10.2304	4.99293	5.76514	4.90307
